22:35:42 INF [API] listening addr=127.0.0.1:50928
22:35:42 INF [DNS] server listening addr=127.0.0.1:53
22:35:57 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50972 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:35:57 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50975 rAddr=dsm04pap002.storage.live.com:443 rule=DomainSuffix rulePayload=live.com
22:35:57 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50973 rAddr=officeclient.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:02 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58489->8.8.8.8:53: i/o timeout proxy=节点选择 lAddr=127.0.0.1:50971 rAddr=raw.githubusercontent.com:443 rule=Match rulePayload=
22:36:02 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58489->8.8.8.8:53: i/o timeout proxy=节点选择 lAddr=127.0.0.1:50976 rAddr=publish.u-tools.cn:443 rule=Match rulePayload=
22:36:02 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58489->8.8.8.8:53: i/o timeout proxy=节点选择 lAddr=127.0.0.1:50970 rAddr=raw.githubusercontent.com:443 rule=Match rulePayload=
22:36:02 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58489->8.8.8.8:53: i/o timeout proxy=节点选择 lAddr=127.0.0.1:50977 rAddr=res.u-tools.cn:443 rule=Match rulePayload=
22:36:02 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58498->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50989 rAddr=officeclient.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:02 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58498->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50990 rAddr=in.appcenter.ms:443 rule=DomainSuffix rulePayload=appcenter.ms
22:36:02 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58498->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50980 rAddr=config.edge.skype.com:443 rule=DomainSuffix rulePayload=skype.com
22:36:02 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58498->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50991 rAddr=in.appcenter.ms:443 rule=DomainSuffix rulePayload=appcenter.ms
22:36:02 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58498->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50994 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:02 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58498->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50984 rAddr=geo.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:02 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:58498->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:50981 rAddr=dsm04pap002.storage.live.com:443 rule=DomainSuffix rulePayload=live.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50995 rAddr=officeclient.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51002 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51001 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50997 rAddr=dsm04pap002.storage.live.com:443 rule=DomainSuffix rulePayload=live.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50996 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:51004 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50998 rAddr=geover.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:07 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: context deadline exceeded proxy=微软服务 lAddr=127.0.0.1:50999 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:12 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: context deadline exceeded proxy=节点选择 lAddr=127.0.0.1:50992 rAddr=publish.u-tools.cn:443 rule=Match rulePayload=
22:36:12 WRN [TCP] dial failed error=yes.cnmjcn.net:16617 connect error: all DNS requests failed, first error: context deadline exceeded proxy=节点选择 lAddr=127.0.0.1:50993 rAddr=res.u-tools.cn:443 rule=Match rulePayload=
22:36:12 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:50812->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:51006 rAddr=dsm04pap002.storage.live.com:443 rule=DomainSuffix rulePayload=live.com
22:36:12 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:50812->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:51009 rAddr=geover.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:12 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:50812->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:51010 rAddr=cp801.prod.do.dsp.mp.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:12 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:50812->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:51008 rAddr=g.live.com:443 rule=DomainSuffix rulePayload=live.com
22:36:12 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:50812->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:51005 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
22:36:12 WRN [TCP] dial failed error=jp.mjt000.com:443 connect error: all DNS requests failed, first error: read udp4 192.168.227.2:50812->223.5.5.5:53: i/o timeout proxy=微软服务 lAddr=127.0.0.1:51007 rAddr=self.events.data.microsoft.com:443 rule=DomainSuffix rulePayload=microsoft.com
